Level,Assembly,Namespace,Type,Member,Kind,Implicit,Browser,Linux,FreeBSD,Android,IOS,MacOS,TvOS,WatchOS,Windows
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,DateAndTime,DateString.set,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,DateAndTime,TimeOfDay.set,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,DateAndTime,TimeString.set,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,DateAndTime,Today.set,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,FileSystem,ChDrive(char),platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,FileSystem,ChDrive(string),platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,FileSystem,CurDir(char),platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,FileSystem,"Dir(string, FileAttribute)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,FileSystem,"Rename(string, string)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Interaction,Beep(),platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Interaction,"DeleteSetting(string, string, string)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Interaction,"GetAllSettings(string, string)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Interaction,"GetObject(string, string)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Interaction,"GetSetting(string, string, string, string)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Interaction,"SaveSetting(string, string, string, string)",platform-specific,No,none,none,none,none,none,none,none,none,any
Member,Microsoft.VisualBasic.Core,Microsoft.VisualBasic,Strings,"StrConv(string, VbStrConv, int)",platform-specific,No,none,none,none,none,none,none,none,none,any
assembly,Microsoft.Win32.Registry.AccessControl,,,,platform-specific,No,none,none,none,none,none,none,none,none,any
assembly,Microsoft.Win32.Registry,,,,platform-specific,No,none,none,none,none,none,none,none,none,any
assembly,Microsoft.Win32.SystemEvents,,,,platform-specific,No,none,none,none,none,none,none,none,none,any
Type,System.Configuration.ConfigurationManager,System.Configuration,DpapiProtectedConfigurationProvider,,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,System.Console,System,Console,BufferHeight.set,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,System.Console,System,Console,BufferWidth.set,platform-specific,No,none,none,none,none,none,none,none,none,any
Member,System.Console,System,Console,CursorSize.set,platform-specific,No,none,none,none,none,none,none,none,none,any
